,grade,year,points,p1,p2,p3,p4,p5,p6,p7,p8,status,status_eng,region,region_eng,region_id,school
3093,9,2019,42,7,7,7,0,7,7,0,7,призер,prize-winner,Республика Татарстан,Republic of Tatarstan,16.0,"МАОУ ""Лицей №131"" Вахитовского района г. Казани"
3094,9,2019,41,7,6,7,0,7,7,7,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3095,9,2019,41,7,6,7,0,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 444"""
3096,9,2019,40,5,7,7,0,7,7,7,0,призер,prize-winner,Удмуртская Республика,Udmurt republic,18.0,Муниципальное бюджетное общеобразовательное учреждение экономико-математический лицей №29
3097,9,2019,40,7,4,7,1,7,7,7,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,Государственное бюджетное общеобразовательное учреждение Гимназия № 610 Петроградского района Санкт-Петербурга «САНКТ-ПЕТЕРБУРГСКАЯ КЛАССИЧЕСКАЯ ГИМНАЗИЯ»
3098,9,2019,40,7,7,7,0,5,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3099,9,2019,39,7,7,7,0,5,7,6,0,призер,prize-winner,Удмуртская Республика,Udmurt republic,18.0,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №41"""
3100,9,2019,37,5,7,7,0,3,7,1,7,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3101,9,2019,37,7,2,7,0,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1514"""
3102,9,2019,37,7,2,7,0,7,7,7,0,призер,prize-winner,Новосибирская область,Novosibirsk region,54.0,муниципальное автономное общеобразовательное учреждение города Новосибирска «Образовательный центр - гимназия № 6 «Горностай»
3103,9,2019,37,7,7,7,1,7,7,0,1,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3104,9,2019,35,7,7,0,0,7,7,7,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3105,9,2019,35,7,0,7,0,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3106,9,2019,35,7,0,7,0,7,7,7,0,призер,prize-winner,Ульяновская область,Ulyanovsk region,73.0,Муниципальное автономное образовательное учреждение многопрофильный лицей №20 г. Ульяновска
3107,9,2019,35,7,0,7,0,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1329"""
3108,9,2019,35,7,7,0,0,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,Государственное бюджетное общеобразовательное учреждение города Москвы «Пятьдесят седьмая школа»
3109,9,2019,35,7,7,6,0,7,7,1,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3110,9,2019,35,7,2,7,0,5,7,7,0,призер,prize-winner,Республика Татарстан,Republic of Tatarstan,16.0,"МАОУ ""Лицей №131"" Вахитовского района г. Казани"
3111,9,2019,34,7,0,7,0,6,7,7,0,призер,prize-winner,Краснодарский край,Krasnodar region,23.0,"Муниципальное бюджетное общеобразовательное учреждение лицей ""Технико-экономический"" муниципального образования город Новороссийск"
3112,9,2019,34,7,2,7,0,6,7,4,1,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3113,9,2019,34,7,6,0,0,7,7,7,0,призер,prize-winner,Волгоградская область,Volgograd region,34.0,"муниципальное общеобразовательное учреждение ""Средняя школа с углубленным изучением отдельных предметов № 30 имени Медведева С.Р. г. Волжского Волгоградской области"""
3114,9,2019,34,7,6,7,0,7,7,0,0,призер,prize-winner,Нижегородская область,Nizhny Novgorod Region,52.0,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №165 имени 65-летия ""ГАЗ"""
3115,9,2019,33,7,2,7,0,6,7,4,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3116,9,2019,33,5,7,7,0,7,7,0,0,призер,prize-winner,Нижегородская область,Nizhny Novgorod Region,52.0,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №40"", г. Нижний Новгород"
3117,9,2019,33,6,0,7,0,6,7,7,0,призер,prize-winner,Пермский край,Perm,59.0,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа с углублённым изучением отдельных предметов № 3"""
3118,9,2019,33,5,7,7,0,7,7,0,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3119,9,2019,33,7,5,7,0,7,7,0,0,призер,prize-winner,Республика Татарстан,Republic of Tatarstan,16.0,"ОШИ ""IТ-лицей ФГАОУ ВО К(П)ФУ"""
3120,9,2019,32,7,7,7,0,4,7,0,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3121,9,2019,32,7,7,7,0,4,7,0,0,призер,prize-winner,Удмуртская Республика,Udmurt republic,18.0,Муниципальное бюджетное общеобразовательное учреждение экономико-математический лицей №29
3122,9,2019,32,7,7,7,0,7,0,4,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3123,9,2019,31,7,2,7,0,7,7,1,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3124,9,2019,31,7,2,7,0,7,7,1,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3125,9,2019,31,3,7,7,0,7,7,0,0,призер,prize-winner,Санкт-Петербург,St. Petersburg,78.0,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга
3126,9,2019,31,7,2,7,0,7,7,1,0,призер,prize-winner,Москва,Moscow,77.0,Государственное бюджетное общеобразовательное учреждение города Москвы «Пятьдесят седьмая школа»
3127,9,2019,31,7,7,5,0,5,7,0,0,призер,prize-winner,Москва,Moscow,77.0,"Общеобразовательная автономная некоммерческая организация ""Школа ""ЛЕТОВО"""
3128,9,2019,31,7,0,7,0,3,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1329"""
